Iteration	Posterior	Likelihood	Prior	q_01	q_10	root_frequencies[1]	root_frequencies[2]
302	-45.59983	-48.28158	2.681753	0.0379525	0.09512369	0.682918	0.317082
303	-46.60576	-49.77658	3.170817	0.02564862	0.08098154	0.317082	0.682918
304	-46.51711	-49.39209	2.874982	0.02564862	0.1028854	0.956795	0.043205
305	-45.45194	-48.05735	2.605407	0.04269125	0.09358038	0.791742	0.208258
306	-46.04718	-48.18589	2.138708	0.0660126	0.09819976	0.791742	0.208258
307	-46.10725	-48.02041	1.913161	0.04510441	0.1461247	0.907531	0.0924691
308	-46.41791	-48.09085	1.672936	0.04793292	0.1627051	0.0410738	0.958926
309	-46.46244	-47.90949	1.447046	0.06101705	0.1627051	0.454406	0.545594
310	-46.09198	-48.18398	2.092	0.06436427	0.1037877	0.219548	0.780452
311	-45.51435	-48.59164	3.077296	0.04074791	0.06367673	0.880785	0.119215
312	-45.44531	-48.40064	2.955334	0.04074791	0.07157401	0.880785	0.119215
313	-45.6539	-48.5118	2.857899	0.04074791	0.07819203	0.452494	0.547506
314	-45.62998	-48.30457	2.674593	0.05436035	0.07339222	0.957065	0.0429353
315	-47.8698	-49.64955	1.779747	0.09160998	0.09738452	0.957065	0.0429353
316	-47.91537	-49.96881	2.053442	0.08522702	0.08366427	0.0637947	0.936205
317	-46.02261	-48.48829	2.465675	0.05794885	0.08366427	0.222934	0.777066
318	-46.81428	-48.19299	1.378709	0.07875771	0.1448297	0.714415	0.285585
319	-46.98113	-48.16636	1.185232	0.0595654	0.1889228	0.533611	0.466389
320	-46.04727	-47.83036	1.783094	0.0595654	0.1353223	0.171706	0.828294
321	-45.53128	-48.15235	2.621065	0.03853115	0.09879597	0.942582	0.0574177
322	-45.68382	-48.09676	2.412939	0.0492066	0.09879597	0.155989	0.844011
323	-46.99353	-48.91196	1.918432	0.08027217	0.09879597	0.648625	0.351375
324	-46.35418	-48.69787	2.343687	0.06572441	0.08341522	0.351375	0.648625
325	-45.92196	-47.81175	1.889789	0.05889481	0.127252	0.415017	0.584983
326	-45.68276	-47.9688	2.286045	0.05374053	0.1023589	0.379359	0.620641
327	-45.67756	-48.72715	3.049589	0.03616799	0.07171976	0.659756	0.340244
328	-45.82043	-49.03124	3.210807	0.03449212	0.06368493	0.659756	0.340244
329	-46.03742	-49.07442	3.037008	0.04275381	0.06368493	0.266972	0.733028
330	-46.34572	-49.21819	2.872466	0.05156476	0.06368493	0.139253	0.860747
331	-45.59115	-48.50862	2.917467	0.03594205	0.08111299	0.770867	0.229133
332	-46.91452	-48.67517	1.760651	0.03556429	0.1773608	0.416411	0.583589
