Pollinator,L.w_ratio,Length,Width,P1,P2,P3,P4,Selfing
autogamous,3.37,0.889,0.264,0,0,0,0,1
hummingbird,2.98,1.677,0.563,1,0,0,0,0
bees,3.45,1.017,0.295,0,0,0,1,0
autogamous,4.16,1.15,0.277,0,0,0,0,1
bees,2.89,0.762,0.264,0,0,0,1,0
autogamous,4.58,0.626,0.137,0,0,0,0,1
beefly,4.73,1.741,0.368,0,0,1,0,0
bees and beefly,3.52,0.645,0.183,0,0,1,1,0
autogamous,3.74,0.753,0.201,0,0,0,0,1
autogamous,3.06,0.729,0.238,0,0,0,0,1
autogamous,3.61,0.748,0.207,0,0,0,0,1
bees and beefly,3.58,1.079,0.302,0,0,1,1,0
autogamous,3.68,0.712,0.193,0,0,0,0,1
autogamous,3.88,0.659,0.17,0,0,0,0,1
autogamous,4.49,0.852,0.19,0,0,0,0,1
bee and beefly,3.73,1.262,0.339,0,0,1,1,0
bee and beefly,2.96,1.858,0.629,0,0,1,1,0
bee and beefly,4.91,2.932,0.597,0,0,1,1,0
